Date,Time,Temp.C
2010/1/13,17:00,10.27
2010/1/13,17:15,10.22
2010/1/13,17:30,10.25
2010/1/13,17:45,10.27
2010/1/13,18:00,10.3
2010/1/13,18:15,10.32
2010/1/13,18:30,10.35
2010/1/13,18:45,10.37
2010/1/13,19:00,10.37
2010/1/13,19:15,10.39
2010/1/13,19:30,10.37
2010/1/13,19:45,10.39
2010/1/13,20:00,10.37
2010/1/13,20:15,10.37
2010/1/13,20:30,10.39
2010/1/13,20:45,10.39
2010/1/13,21:00,10.39
2010/1/13,21:15,10.42
2010/1/13,21:30,10.42
2010/1/13,21:45,10.44
2010/1/13,22:00,10.44
2010/1/13,22:15,10.44
2010/1/13,22:30,10.47
2010/1/13,22:45,10.44
2010/1/13,23:00,10.42
2010/1/13,23:15,10.42
2010/1/13,23:30,10.42
2010/1/13,23:45,10.42
2010/1/14,0:00,10.42
2010/1/14,0:15,10.42
2010/1/14,0:30,10.42
2010/1/14,0:45,10.39
2010/1/14,1:00,10.39
2010/1/14,1:15,10.39
2010/1/14,1:30,10.39
2010/1/14,1:45,10.39
2010/1/14,2:00,10.37
2010/1/14,2:15,10.35
2010/1/14,2:30,10.32
2010/1/14,2:45,10.35
2010/1/14,3:00,10.32
2010/1/14,3:15,10.32
2010/1/14,3:30,10.32
2010/1/14,3:45,10.32
2010/1/14,4:00,10.32
2010/1/14,4:15,10.32
2010/1/14,4:30,10.32
2010/1/14,4:45,10.3
2010/1/14,5:00,10.3
2010/1/14,5:15,10.3
2010/1/14,5:30,10.3
2010/1/14,5:45,10.3
2010/1/14,6:00,10.27
2010/1/14,6:15,10.27
2010/1/14,6:30,10.25
2010/1/14,6:45,10.25
2010/1/14,7:00,10.25
2010/1/14,7:15,10.25
2010/1/14,7:30,10.25
2010/1/14,7:45,10.25
2010/1/14,8:00,10.25
2010/1/14,8:15,10.27
2010/1/14,8:30,10.3
2010/1/14,8:45,10.32
2010/1/14,9:00,10.32
2010/1/14,9:15,10.35
2010/1/14,9:30,10.35
2010/1/14,9:45,10.39
2010/1/14,10:00,10.42
2010/1/14,10:15,10.44
2010/1/14,10:30,10.49
2010/1/14,10:45,10.52
2010/1/14,11:00,10.57
2010/1/14,11:15,10.59
2010/1/14,11:30,10.64
2010/1/14,11:45,10.71
2010/1/14,12:00,10.76
2010/1/14,12:15,10.88
2010/1/14,12:30,10.88
2010/1/14,12:45,10.76
